name,type,test_categories,sample_type,test_details,description_in_english,description_in_urdu
17- Ketosteroids,Test,Chem & Immuno,Urine,,"17-ketosteroids are substances that form when the body breaks down male steroid sex hormones called androgens and other hormones released by the adrenal glands in males and females.Increased levels of 17-ketosteroids can be due to: Adrenal gland problems such as tumors, Cushing's syndrome,PCOS,Obesity and Stress","17-ketosteroids وہ مادے ہوتے ہیں جب جسم مردانہ سٹیرایڈ جنسی ہارمونز کو توڑ دیتا ہے جسے اینڈروجن کہتے ہیں اور دوسرے ہارمونز جو مردوں اور عورتوں میں ایڈرینل غدود سے خارج ہوتے ہیں۔ سنڈروم، PCOS، موٹاپا اور تناؤ"
17-Hydroxy Progesterone (OHP),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test measures the amount of 17-hydroxyprogesterone (17-OHP) in the blood. 17-OHP is a hormone made by the adrenal glands.The adrenal glands makes cortisol. 17-OHP is made as part of the process of producing cortisol.This test helps diagnose a rare genetic disorder called congenital adrenal hyperplasia , یہ ٹیسٹ خون میں 17-hydroxyprogesterone (17-OHP) کی مقدار کی پیمائش کرتا ہے۔ 17-OHP ایک ہارمون ہے جو ادورکک غدود کے ذریعہ تیار کیا جاتا ہے۔ ایڈرینل غدود کورٹیسول بناتا ہے۔ 17-OHP کورٹیسول پیدا کرنے کے عمل کے حصے کے طور پر بنایا گیا ہے۔ یہ ٹیسٹ ایک نادر جینیاتی عارضے کی تشخیص میں مدد کرتا ہے جسے پیدائشی ایڈرینل ہائپرپلاسیا کہا جاتا ہے۔
25-OH Vitamin - D3,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"25-hydroxyvitamin D3 is the major circulating form of vitamin D; thus, the total serum 25(OH)D level is currently considered the best indicator of vitamin D supply to the body from skin synthesis and nutritional intake","25-hydroxyvitamin D3 وٹامن ڈی کی بڑی گردش کرنے والی شکل ہے۔ اس طرح، کل سیرم 25(OH)D کی سطح فی الحال جلد کی ترکیب اور غذائیت کی مقدار سے جسم کو وٹامن ڈی کی فراہمی کا بہترین اشارہ سمجھا جاتا ہے۔"
5 HIAA (5-Hydroxyindoieacetic Acid),Test,Chem & Immuno,Urine,,5-Hydroxyindoleacetic acid (5-HIAA) is the majorbreakdown product of serotonin and is excreted in the urine.It is used to diagnose various types of tumors and cancers,5-Hydroxyindoleacetic acid (5-HIAA) سیروٹونن کی بڑی خرابی کی پیداوار ہے اور پیشاب میں خارج ہوتی ہے۔ اسے مختلف قسم کے ٹیومر اور کینسر کی تشخیص کے لیے استعمال کیا جاتا ہے۔
A/G Ratio,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This is a blood test to measure the levels of protein in your body. Your liver makes most of the proteins that are found in your  blood. This test is useful for liver and kidney disease diagnosis,یہ آپ کے جسم میں پروٹین کی سطح کی پیمائش کرنے کے لیے ایک خون کا ٹیسٹ ہے۔ آپ کا جگر آپ کے خون میں پائے جانے والے زیادہ تر پروٹین بناتا ہے۔ یہ ٹیسٹ جگر اور گردے کی بیماری کی تشخیص کے لیے مفید ہے۔
ABGS (Arterial Blood Gases),Test,Chem & Immuno,Plasma (Heparin / Green Tube),,"An arterial blood gas (ABG) test measures the oxygen and carbon dioxide levels in your blood as well your blood's pH balance. The sample is taken from an artery, not a vein, and healthcare providers typically order it in certain emergency situations.Imbalances in the oxygen, carbon dioxide, and pH levels of your blood can indicate the presence of certain medical conditions","آرٹیریل بلڈ گیس (ABG) ٹیسٹ آپ کے خون میں آکسیجن اور کاربن ڈائی آکسائیڈ کی سطح کے ساتھ ساتھ آپ کے خون کے پی ایچ بیلنس کی پیمائش کرتا ہے۔ نمونہ شریان سے لیا جاتا ہے، رگ سے نہیں، اور صحت کی دیکھ بھال فراہم کرنے والے عموماً بعض ہنگامی حالات میں اس کا آرڈر دیتے ہیں۔ آکسیجن، کاربن ڈائی آکسائیڈ، اور آپ کے خون کے پی ایچ لیول میں عدم توازن بعض طبی حالات کی موجودگی کی نشاندہی کر سکتا ہے۔"
Abscess For C/S (Bacterial Culture & sensitivity),Test,Microbiology,Body Fluid,,This test is useful in identifying the exact micro-organism present in abscess so that specific treatment can be planned,یہ ٹیسٹ پھوڑے میں موجود مائیکرو آرگنزم کی درست نشاندہی کرنے میں مفید ہے تاکہ مخصوص علاج کی منصوبہ بندی کی جا سکے۔
Absolute Eosinophil Count,Test,Hematology,Plasma (EDTA / Purple Tube),,"It is a blood test that measures the number of one type of white blood cells called eosinophils. Eosinophils become active when you have certain allergic diseases, infections, and other medical conditions","یہ ایک خون کا ٹیسٹ ہے جو خون کے سفید خلیات کی ایک قسم کی تعداد کی پیمائش کرتا ہے جسے eosinophils کہتے ہیں۔ Eosinophils فعال ہو جاتے ہیں جب آپ کو کچھ الرجک بیماریاں، انفیکشن اور دیگر طبی حالات ہوتے ہیں۔"
Absolute Lymphocyte Count,Test,Hematology,Plasma (EDTA / Purple Tube),,It is a blood test that measures the number of one type of white blood cells called lymphocytes.Lymphocytes play a crucial role in the tumor-related immune response.,یہ ایک خون کا ٹیسٹ ہے جو خون کے سفید خلیوں کی ایک قسم کی تعداد کی پیمائش کرتا ہے جسے لیمفوسائٹس کہتے ہیں۔ لیمفوسائٹس ٹیومر سے متعلق مدافعتی ردعمل میں اہم کردار ادا کرتے ہیں۔
Absolute Monocyte Count,Test,Hematology,Plasma (EDTA / Purple Tube),,"It is a blood test that measures the number of one type of white blood cells called monoocytes.Monocytes are necessary to help the body fight disease and infection. Low levels can result from certain medical treatments or bone marrow problems, while high levels can indicate the presence of chronic infections or an autoimmune disease.","یہ ایک خون کا ٹیسٹ ہے جو ایک قسم کے سفید خون کے خلیوں کی تعداد کی پیمائش کرتا ہے جسے monoocytes کہتے ہیں۔ مونو سائیٹس جسم کو بیماری اور انفیکشن سے لڑنے میں مدد کرنے کے لیے ضروری ہیں۔ کم سطح بعض طبی علاج یا بون میرو کے مسائل کے نتیجے میں ہو سکتی ہے، جبکہ اعلی سطح دائمی انفیکشن یا خود کار قوت مدافعت کی بیماری کی موجودگی کی نشاندہی کر سکتی ہے۔"
