city,district,office
Abbottabad,Abbottabad,North Office
Ahmadpur East,Bahawalpur,Central Office
Ahmed Nager Chatha,Gujranwala,Central Office
Ali Khan Abad,Haripur,North Office
Alipur,Muzaffargarh,Central Office
Arifwala,Pakpattan,Central Office
Attock,Attock,North Office
Awaran,Awaran,South Office
Badin,Badin,South Office
Bhera,Sargodha,Central Office
Bhalwal,Sargodha,Central Office
Bahawalnagar,Bahawalnagar,Central Office
Bahawalpur,Bahawalpur,Central Office
Bhakkar,Bhakkar,Central Office
Bolhari,Jamshoro,South Office
Burewala,Vehari,Central Office
Chakwal,Chakwal,North Office
Chaman,Chaman,South Office
Charsada,Charsada,North Office
Chenab Nagar,Chiniot,Central Office
Chillianwala,Mandi Bahauddin,Central Office
Choa Saidanshah,Chakwal,Central Office
Chichawatni,Sahiwal,Central Office
Chiniot,Chiniot,Central Office
Chishtian,Bahawalnagar,Central Office
Chunian,Kasur,Central Office
Dajkot,Faisalabad,Central Office
Daska,Sialkot,Central Office
Darya Khan,Bhakkar,Central Office
Dera Ghazi Khan,Dera Ghazi Khan,Central Office
Dera Ismail Khan,Dera Ismail Khan,Central Office
Dhaular,Chakwal,Central Office
Dina,Jhelum,North Office
Dinga,Gujrat,North Office
Dir,Upper Dir,North Office
Dhudial Chakwal,Chakwal,North Office
Dipalpur,Okara,Central Office
Faisalabad,Faisalabad,Central Office
Fateh Jang,Attock,North Office
Ferozewala,Sheikhupura,Central Office
Ghakhar Mandi,Gujranwala,Central Office
Ghotki,Ghotki,South Office
Gojra,Toba Tek Singh,Central Office
Gujranwala,Gujranwala,Central Office
Gujrat,Gujrat,North Office
Gujar Khan,Gujar Khan,North Office
Harappa,Sahiwal,Central Office
Hafizabad,Hafizabad,Central Office
Haroonabad,Bahawalnagar,Central Office
Hasilpur,Bahawalpur,Central Office
Haveli Lakha,Okara,Central Office
Hub,Hub,South Office
Hyderabad,Hyderabad,South Office
Islamabad,Rawalpindi,North Office
Jacobabad,Jacobabad,South Office
Jampur,Rajanpur,Central Office
Jaranwala,Faisalabad,Central Office
